ecc,scan_type,category,event,pl,judgment,source_dir,AffineParam_a,AffineParam_b,AffineParam_c,AffineParam_d,AffineParam_e,AffineParam_f,NumOfPics,Gap,PxLen,ThickOfBase,ThickOfEmul,lens_StagePos_x,lens_StagePos_y,lens_SurfacePos,stage_StagePos_x,stage_StagePos_y,stage_SurfacePos,Track_ax,Track_ay,Track_x,Track_y
4,UTS,IMG,10926,109,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\UTS\ECC4\IMG\Event10926\PL109,1.0003496113083032,0.0015497917860907678,-0.001999545770195621,1.0005406081611394,-56247.949211180945,-176930.27894495896,200,0.5,0.14,210,70,-10527.276731194328,-152290.07516467938,2017.5,-10596.938034241248,-152249.86714860372,2004.5000000000002,0.3319,-0.1907,45596.7,24758.2
4,UTS,IMG,10926,110,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\UTS\ECC4\IMG\Event10926\PL110,1.0003592139161686,-0.0031256819405143903,0.002767436294661815,1.0004638644684123,-59565.86934574319,-177631.18263427733,200,0.5,0.14,210,70,-11421.769909401904,-152361.81922679898,2013.75,-11491.93219877076,-152322.5987116791,2013.75,0.3334,-0.1876,48135.3,25163.7
4,UTS,IMG,11838,113,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\UTS\ECC4\IMG\Event11838\PL113,1.0002714087658733,0.0005192279544114499,-0.0008754345341447603,1.000280548784395,56663.74809976607,-100856.01200040651,200,0.5,0.14,210,70,94328.11965400963,-57496.611877156814,2030.25,94354.65108397881,-57461.88923642904,2030.25,-0.12622,-0.16541,37658.14,43414.91
4,FTS,IMG,1081,108,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\FTS\ECC4\IMG\Event01081\PL108,1.0004437173601826,-0.0006380318972435121,0.00043147487902093904,1.0005017384272679,-33130.68106392484,-173362.59932807353,200,0.5,0.156,210,70,-3888.1186308600904,-104606.25251915243,2206.75,-3868.593819692167,-104650.40825830765,2192.75,-0.0928,0.2102,29292.9,68665.1
4,FTS,IMG,1452,108,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\FTS\ECC4\IMG\Event01452\PL108,1.0004204802470333,-0.004995395274094353,0.004814616250980722,1.00051511252884,-153659.79211369832,-173394.92460119585,200,0.5,0.156,210,70,-52585.17803904156,-88237.60866600178,2173,-52590.93657694441,-88224.58834840037,2173,0.0271,-0.0621,101449,84638.3
4,FTS,IMG,2071,101,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\FTS\ECC4\IMG\Event02071\PL101,1.0003171169654537,-0.001861014133562231,0.0016909340559348558,1.000396011898868,-131720.00466515403,-101914.26536118102,200,0.5,0.156,210,70,-46125.029990248564,-60145.06967191395,2153,-46225.63183941401,-60133.43301821898,2153,0.4788,-0.0562,85544.7,41619.7
4,FTS,IMG,2071,102,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\FTS\ECC4\IMG\Event02071\PL102,1.0003485108877295,-0.0039209643490879,0.0037140659460458566,1.0003928573345309,-127961.21597023455,-109995.02079409707,200,0.5,0.156,210,70,-44767.963467837566,-67809.14884856832,2164.25,-44868.48758385741,-67797.75728049189,2164.25,0.4783,-0.056,83227.9,41871.7
4,FTS,IMG,2071,103,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\FTS\ECC4\IMG\Event02071\PL103,1.0004124452761978,-0.0029933123723286884,0.0028169923986953492,1.00048518144454,-142409.98599871018,-108799.20898344745,200,0.5,0.156,210,70,-58201.24162033324,-64684.37158829651,2163,-58301.86679511085,-64672.72104400395,2149.7499999999995,0.4788,-0.0568,84204.7,43868
4,FTS,IMG,2210,108,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\FTS\ECC4\IMG\Event02210\PL108,1.0004204802470333,-0.004995395274094353,0.004814616250980722,1.00051511252884,-153659.79211369832,-173394.92460119585,200,0.5,0.156,210,70,-66727.29086513346,-102527.82308410956,2177.5,-66754.62543485693,-102628.527429197,2164.75,0.1325,0.47866000000000003,87219.72,70310.25
4,FTS,IMG,2210,111,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\FTS\ECC4\IMG\Event02210\PL111,1.000430532433617,-0.0010764990072529433,0.000895722970411207,1.0005560278006769,-132245.4964791506,-171981.7815343897,200,0.5,0.156,210,70,-46749.50421263821,-107242.48920878604,2196.5,-46777.5480879987,-107343.11832191373,2179.75,0.134,0.4788,85500.6,64526.2
4,FTS,IMG,4770,111,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\FTS\ECC4\IMG\Event04770\PL111,1.0003873045389304,0.009113528296258706,-0.009262578837078036,1.0004500780044248,-132963.51844356087,-251404.7376779993,200,0.5,0.156,210,70,-81475.98759015586,-173501.2356294378,2177.75,-81539.56841302366,-173495.31008424735,2164.5,0.30288000000000004,-0.025400000000000002,50690.33,78343.69
4,FTS,IMG,6590,111,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\FTS\ECC4\IMG\Event06590\PL111,1.000430532433617,-0.0010764990072529433,0.000895722970411207,1.0005560278006769,-132245.4964791506,-171981.7815343897,200,0.5,0.156,210,70,-34638.68973100743,-140561.94430505115,2197,-34694.095214552275,-140577.20638015898,2197,0.2638,0.0724,97543.1,31299.8
4,FTS,IMG,6746,108,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\FTS\ECC4\IMG\Event06746\PL108,1.0004204802470333,-0.004995395274094353,0.004814616250980722,1.00051511252884,-153659.79211369832,-173394.92460119585,200,0.5,0.156,210,70,-31866.098605313302,-123208.62048534738,2199.25,-31834.00011435186,-123233.11228934968,2185.5,-0.1522,0.1173,122022,49548.8
4,FTS,IMG,7408,108,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\FTS\ECC4\IMG\Event07408\PL108,1.0004437173601826,-0.0006380318972435121,0.00043147487902093904,1.0005017384272679,-33130.68106392484,-173362.59932807353,200,0.5,0.156,210,70,-16360.516184526436,-90579.02563418413,2203.5,-16383.068521275089,-90498.50195205442,2187.5,0.1071,-0.3833,16793,82815.3
4,FTS,IMG,7890,111,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\FTS\ECC4\IMG\Event07890\PL111,1.0003726134643542,0.014546032817669162,-0.014722354089156162,1.000340559862439,-13551.88169677667,-251671.72663404688,200,0.5,0.156,210,70,48106.15167835854,-188677.8268562737,2233.5,48069.96190080266,-188626.2569647874,2216.5,0.1758,-0.2429,60669.5,63916.9
